BveTs Station List 2.00:utf-8,,,,,,,,,,,,
#3306B,name,arrive,depart,停車時間,jump,signal,降車時間,乗車率,arr.Sound,dep.Melo,Reopen,stuck
J0,上谷車両基地,,13:20:00,120,13:19:00,0,0,0.01,,,0,0
H1,上谷④,13:24:30,13:25:30,60,13:24:30,1,40,0.2,,,0.03,0.3
H2,田王①,13:28:45,13:29:15,20,13:28:45,0,7,0.22,,,0.01,0.3
H3,三々①,13:33:45,13:34:15,20,13:33:45,0,12,0.1,,,0.02,0.3
H4,富立①,13:37:25,13:37:55,25,13:37:25,0,11,0.2,,,0.008,0.3
H5,間代①,13:42:00,13:46:00,30,13:45:30,1,30,0.6,,,0.02,0.3
H6,杜社②,13:49:25,13:49:55,20,13:49:25,0,12,0.5,,,0.008,0.3
H7,網木①,13:53:00,13:56:30,30,13:56:00,1,12,0.35,,,0.01,0.3
H8,狐井②,13:59:00,13:59:30,20,13:59:00,0,12,0.3,,,0.005,0.3
H9,盛殿②,14:01:50,14:02:20,20,14:01:50,0,12,0.3,,,0.005,0.3
H10,若生①,14:02:45,14:07:00,30,14:06:30,1,30,0.8,,,0.03,0.3
H11,熱津②,14:09:15,14:09:45,20,14:09:15,0,12,0.8,,,0.02,0.3
H12,浜宮②,14:15:30,14:16:00,20,14:15:30,0,12,0.7,,,0.01,0.3
H13,下渡野①,14:20:00,14:20:30,20,14:20:00,0,12,0.7,,,0.02,0.3
H14,稲上②,14:24:00,14:24:30,20,14:24:00,0,12,0.8,,,0.01,0.3
H15,瑞台④,14:28:45,14:33:00,30,14:32:30,1,30,0.6,,,0.02,0.3
H16,東瑞台①,14:36:00,14:36:30,30,14:36:00,0,20,0.5,,,0.04,0.3
H17,本瑞台③,14:39:45,t,30,14:39:45,1,60,0.5,,,0.02,0.3
