BveTs Vehicle Performance Table 1.00,
#,C-Empty
0,178.043565
1,178.043565
2,178.043565
3,178.043565
4,178.043565
5,178.043565
6,178.043565
7,178.043565
8,178.043565
9,178.043565
10,178.043565
11,178.043565
12,178.043565
13,178.043565
14,178.043565
15,178.043565
16,178.043565
17,178.043565
18,178.043565
19,178.043565
20,178.043565
21,178.043565
22,178.043565
23,178.043565
24,178.043565
25,178.043565
26,178.043565
27,178.043565
28,178.043565
29,178.043565
30,178.043565
31,178.043565
32,178.043565
33,178.043565
34,178.043565
35,178.043565
36,178.043565
37,178.043565
38,178.043565
39,178.043565
40,178.043565
41,178.043565
42,178.043565
43,178.043565
44,178.043565
45,178.043565
46,178.043565
47,178.043565
48,178.043565
49,178.043565
50,178.043565
51,178.043565
52,178.043565
53,178.043565
54,178.043565
55,178.043565
56,178.043565
57,178.043565
58,178.043565
59,178.043565
60,178.043565
61,178.043565
62,178.043565
63,178.043565
64,178.043565
65,178.043565
66,178.043565
67,178.043565
68,178.043565
69,178.043565
70,178.043565
71,178.043565
72,178.043565
73,178.043565
74,178.043565
75,178.043565
76,178.043565
77,178.4649699
78,178.4649699
79,178.4649699
80,178.4649699
81,178.4649699
82,178.4649699
83,178.4649699
84,178.4649699
85,178.4649699
86,178.4649699
87,178.4649699
88,178.4649699
89,178.4649699
90,178.4649699
91,178.4649699
92,178.4649699
93,178.4649699
94,178.4649699
95,178.4649699
96,178.4649699
97,178.4649699
98,178.4649699
99,178.4649699
100,178.4649699
101,178.4649699
102,178.4649699
103,178.4649699
104,178.4649699
105,178.4649699
106,178.4649699
107,178.4649699
108,178.4649699
109,178.4649699
110,178.4649699
111,178.4649699
112,178.4649699
113,178.4649699
114,178.4649699
115,178.4649699
116,178.4649699
117,178.4649699
118,178.4649699
119,178.4649699
120,178.4649699
121,176.9900528
122,175.5393146
123,174.1121657
124,172.7080354
125,171.3263711
126,169.966638
127,168.628318
128,167.3109093
129,166.0139255
130,164.7368953
131,163.4793617
132,162.2408817
133,161.0210255
134,159.819376
135,158.6355288
136,157.4690911
137,156.3196816
138,155.1869303
139,154.0704776
140,152.9699742
141,151.8850807
142,150.8154675
143,149.7608139
144,148.7208082
145,147.6951475
146,146.6835369
147,145.6856897
148,144.7013269
149,143.7301771
150,142.7719759
151,141.8264661
152,140.8933973
153,139.9725254
154,139.0636129
155,138.1664283
156,137.2807461
157,136.4063464
158,135.5430151
159,134.6905433
160,133.8487274
