BveTs Vehicle Performance Table 1.00,
#,F-Empty
0,43387.84722
1,43387.84722
2,43387.84722
3,43387.84722
4,43387.84722
5,43387.84722
6,43387.84722
7,43387.84722
8,43387.84722
9,43387.84722
10,43387.84722
11,43387.84722
12,43387.84722
13,43387.84722
14,43387.84722
15,43387.84722
16,43387.84722
17,43387.84722
18,43387.84722
19,43387.84722
20,43387.84722
21,43387.84722
22,43387.84722
23,43387.84722
24,43387.84722
25,43387.84722
26,43387.84722
27,43387.84722
28,43387.84722
29,43387.84722
30,43387.84722
31,43387.84722
32,43387.84722
33,43387.84722
34,43387.84722
35,43387.84722
36,43387.84722
37,43387.84722
38,43387.84722
39,43387.84722
40,43387.84722
41,43387.84722
42,43387.84722
43,43387.84722
44,43387.84722
45,43387.84722
46,43387.84722
47,43387.84722
48,43387.84722
49,43387.84722
50,43387.84722
51,43387.84722
52,43387.84722
53,43387.84722
54,43387.84722
55,43387.84722
56,43387.84722
57,43387.84722
58,43387.84722
59,43387.84722
60,43387.84722
61,43387.84722
62,43387.84722
63,43387.84722
64,43387.84722
65,43387.84722
66,43387.84722
67,43387.84722
68,43387.84722
69,43387.84722
70,43387.84722
71,43387.84722
72,43387.84722
73,43387.84722
74,43387.84722
75,43387.84722
76,43387.84722
77,43387.84722
78,42831.59277
79,42289.42071
80,41760.80295
81,41245.23748
82,40742.24678
83,40251.37634
84,39772.19329
85,39304.28513
86,38847.25856
87,38400.73835
88,37964.36632
89,37537.80041
90,37120.71373
91,36712.7938
92,36313.7417
93,35923.27136
94,35541.10889
95,35166.99196
96,34800.66913
97,34441.89934
98,34090.45139
99,33746.1034
100,33408.64236
101,33077.86372
102,32753.57094
103,32435.57511
104,32123.69458
105,31817.75463
106,31517.58713
107,31223.03024
108,30933.92811
109,30650.13061
110,30371.49306
111,30097.876
112,29829.14497
113,29565.17023
114,29305.82663
115,29050.99336
116,28800.55376
117,28554.39518
118,28312.40878
119,28074.48938
120,27840.5353
121,27382.26271
122,26935.21287
123,26499.0223
124,26073.34211
125,25657.83733
126,25252.18621
127,24856.07963
128,24469.22048
129,24091.32314
130,23722.11292
131,23361.32558
132,23008.70686
133,22664.012
134,22327.00536
135,21997.45999
136,21675.15724
137,21359.88643
138,21051.44446
139,20749.63554
140,20454.27083
141,20165.16817
142,19882.15177
143,19605.052
144,19333.70507
145,19067.95283
146,18807.64254
147,18552.62661
148,18302.76243
149,18057.91218
150,17817.94259
151,17582.72481
152,17352.13419
153,17126.05017
154,16904.35606
155,16686.93895
156,16473.68953
157,16264.50194
158,16059.27369
159,15857.90548
160,15660.30111
