BveTs Vehicle Performance Table 1.00,
#,F-Max
0,64438.75521
1,64438.75521
2,64438.75521
3,64438.75521
4,64438.75521
5,64438.75521
6,64438.75521
7,64438.75521
8,64438.75521
9,64438.75521
10,64438.75521
11,64438.75521
12,64438.75521
13,64438.75521
14,64438.75521
15,64438.75521
16,64438.75521
17,64438.75521
18,64438.75521
19,64438.75521
20,64438.75521
21,64438.75521
22,64438.75521
23,64438.75521
24,64438.75521
25,64438.75521
26,64438.75521
27,64438.75521
28,64438.75521
29,64438.75521
30,64438.75521
31,64438.75521
32,64438.75521
33,64438.75521
34,64438.75521
35,64438.75521
36,64438.75521
37,64438.75521
38,64438.75521
39,64438.75521
40,64438.75521
41,64438.75521
42,64438.75521
43,64438.75521
44,64438.75521
45,64438.75521
46,64438.75521
47,64438.75521
48,64438.75521
49,64438.75521
50,64438.75521
51,64438.75521
52,64438.75521
53,64438.75521
54,64438.75521
55,64438.75521
56,64438.75521
57,64438.75521
58,64438.75521
59,64438.75521
60,64438.75521
61,64438.75521
62,64438.75521
63,64438.75521
64,64438.75521
65,64438.75521
66,64438.75521
67,64438.75521
68,64438.75521
69,64438.75521
70,64438.75521
71,64438.75521
72,64438.75521
73,64438.75521
74,64438.75521
75,64438.75521
76,64438.75521
77,64438.75521
78,63612.61732
79,62807.39432
80,62022.30189
81,61104.05553
82,59622.80017
83,58194.76097
84,56817.41898
85,55488.40254
86,54205.47706
87,52966.53565
88,51769.59044
89,50612.76459
90,49494.28498
91,48412.47535
92,47365.75004
93,46352.6082
94,45371.62838
95,44421.46353
96,43500.83641
97,42608.53527
98,41743.40986
99,40904.36775
100,40090.37083
101,39300.43215
102,38533.61287
103,37789.01954
104,37065.80144
105,36363.14815
106,35680.28732
107,35016.48252
108,34371.03124
109,33743.26305
110,33132.53788
111,32538.24433
112,31959.79818
113,31396.64095
114,30848.23856
115,30314.08003
116,29793.6763
117,29286.55916
118,28792.28012
119,28310.40946
120,27840.5353
121,27382.26271
122,26935.21287
123,26499.0223
124,26073.34211
125,25657.83733
126,25252.18621
127,24856.07963
128,24469.22048
129,24091.32314
130,23722.11292
131,23361.32558
132,23008.70686
133,22664.012
134,22327.00536
135,21997.45999
136,21675.15724
137,21359.88643
138,21051.44446
139,20749.63554
140,20454.27083
141,20165.16817
142,19882.15177
143,19605.052
144,19333.70507
145,19067.95283
146,18807.64254
147,18552.62661
148,18302.76243
149,18057.91218
150,17817.94259
151,17582.72481
152,17352.13419
153,17126.05017
154,16904.35606
155,16686.93895
156,16473.68953
157,16264.50194
158,16059.27369
159,15857.90548
160,15660.30111
