bvets vehicle performance table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
#,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,Field-Ctrl,35%Field
0,359.74818,487.13688,719.8524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,297.1215,396.75492,588.19374,789.59592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,252.99792,331.28154,456.53508,657.22554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,219.5496,278.26218,373.9815,524.85516,734.08572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,195.35292,244.458,315.62478,427.71258,615.23712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,166.174488,209.9421,267.58728,357.6132,496.38852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,149.806134,181.83114,225.95454,295.69806,383.94486,556.88022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,134.149428,158.346144,197.4879,249.08382,319.1832,445.14828,628.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,121.339404,143.401122,171.156186,214.21206,276.48306,365.44158,512.04528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,106.394382,127.03275,153.364464,183.96612,233.78292,308.15226,417.39336,583.9236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,96.431022,115.646058,136.284426,162.61614,202.46958,258.33546,344.80314,465.07518,668.61216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,89.314344,104.97105,122.762736,146.95947,178.272864,221.32872,280.75302,383.94486,531.26028,721.27566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,79.350984,95.719356,111.02022,132.01443,156.211128,197.4879,241.6113,324.16488,442.30176,600.29208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,74.369304,85.756014,99.277704,117.06939,139.13109,168.665346,211.0095,268.65468,361.17162,479.3085,640.14534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,67.252626,77.215986,92.161026,107.106048,122.05107,151.941132,180.40788,225.95454,293.56308,389.63826,547.62858,786.39336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,65.829294,71.52264,82.55349,94.296024,112.087728,134.861094,161.904474,197.4879,252.99792,336.97476,455.11182,649.39716,0,635.87538,0,0,0,0,0,0,0,0,0,0,0,0
16,60.135948,67.964292,75.792654,86.46768,100.701036,120.627738,141.266124,174.00285,217.41462,273.63636,361.52748,512.40096,715.58226,557.9478,0,0,0,0,0,0,0,0,0,0,0,0
17,55.865952,61.915122,69.387642,80.774316,92.161026,107.817714,127.744416,154.07613,185.74542,235.20636,307.7964,414.90252,597.44538,499.23522,610.96698,0,0,0,0,0,0,0,0,0,0,0
18,49.46094,56.577618,67.252626,71.52264,86.111838,96.431022,115.646058,138.0636,166.886154,210.29796,263.673,353.34324,479.3085,453.68838,544.07034,0,0,0,0,0,0,0,0,0,0,0
19,46.614258,53.375112,58.00095,67.964292,80.06265,90.737676,102.836034,121.339404,149.09445,182.54286,227.37798,287.86968,396.75492,408.85326,487.13688,597.44538,0,0,0,0,0,0,0,0,0,0
20,46.614258,49.46094,53.730936,62.270964,72.234306,83.620998,96.431022,109.596888,128.456082,157.990302,197.4879,247.3047,321.31818,365.44158,444.43674,531.26028,663.63048,0,0,0,0,0,0,0,0,0
21,41.632578,47.325924,53.730936,59.424282,64.405962,73.657656,86.46768,99.98937,120.627738,137.707776,172.579518,211.72122,270.07794,339.10992,396.0432,482.1552,593.88696,0,0,0,0,0,0,0,0,0
22,39.49758,43.411752,49.816764,54.442602,63.694296,69.387642,80.06265,92.161026,107.106048,124.186086,150.5178,186.45696,236.62962,305.66142,366.1533,436.60836,525.56688,657.93708,0,0,0,0,0,0,0,0
23,35.939232,40.920912,45.902592,51.595938,58.00095,66.54096,72.945972,82.197666,97.854372,113.51106,134.861094,162.971982,200.3346,283.59972,327.72312,386.79156,463.65174,573.2487,0,0,0,0,0,0,0,0
24,34.5159,38.785914,45.190926,50.172606,54.442602,58.712616,65.117628,75.792654,87.891012,104.97105,122.762736,144.824454,178.98453,260.8263,302.10318,354.05478,420.59592,513.46854,630.53784,0,0,0,0,0,0,0
25,33.804234,35.939232,39.49758,44.47926,51.240096,57.289284,60.847614,72.234306,81.486,93.584358,109.241046,127.744416,157.634478,242.32302,280.75302,325.58814,387.50328,455.82336,568.97856,0,0,0,0,0,0,0
26,31.669236,33.092568,39.49758,41.98842,48.03759,53.01927,58.712616,62.98263,75.792654,85.044348,99.633528,115.646058,135.57276,224.53128,257.9796,297.83304,347.64984,411.69996,506.35188,606.69702,0,0,0,0,655.8021,0
27,29.53422,32.380902,34.5159,38.785914,45.902592,49.105098,56.577618,59.424282,70.810974,75.792654,87.891012,103.5477,122.406912,208.87452,237.34134,272.92464,320.60646,379.6749,446.92758,551.54268,665.76546,0,0,0,606.69702,0
28,27.399222,29.53422,34.5159,36.650898,43.767594,46.614258,50.884272,55.865952,61.55928,70.810974,80.06265,95.00769,111.376062,195.35292,221.68458,253.70964,291.4281,344.44728,404.5833,490.69512,595.3104,0,0,0,566.84358,0
29,26.687556,29.178396,31.669236,34.5159,39.853404,43.055928,48.03759,54.442602,60.847614,65.117628,72.945972,86.46768,102.836034,182.54286,206.028,234.49464,268.65468,315.62478,370.42326,433.04994,537.30936,651.53214,0,0,527.70186,0
30,25.620048,27.04338,30.245886,32.380902,35.939232,39.49758,43.055928,48.03759,55.154268,61.55928,67.964292,79.350984,89.314344,171.867852,193.21794,218.83788,249.43968,286.44642,336.97476,399.60162,481.44348,576.09522,0,0,494.25354,0
31,24.552558,25.97589,27.755064,29.53422,32.02506,37.362564,40.209246,47.325924,52.307604,58.712616,62.626788,72.590148,85.044348,161.904474,180.40788,203.89284,229.51296,266.5197,309.21984,361.88316,423.7983,526.99014,635.16384,0,465.78672,0
32,23.129208,23.840874,27.399222,29.53422,31.49136,35.939232,38.785914,43.055928,48.03759,53.730936,58.712616,70.099308,76.50432,151.941132,168.309504,191.08296,214.56792,245.88126,282.17646,330.56982,393.90822,471.12426,578.23038,0,441.59004,0
33,22.417542,23.840874,25.264224,28.110888,30.95757,34.5159,37.00674,41.632578,43.055928,48.03759,55.154268,61.55928,68.675976,143.401122,159.769476,178.272864,199.62288,228.80124,262.24974,304.23816,354.7665,424.51002,516.31524,640.85706,412.41168,0
34,20.99421,22.417542,24.552558,25.97589,28.822554,30.245886,33.092568,38.074248,42.344244,48.03759,50.172606,59.424282,65.829294,134.861094,149.09445,166.174488,187.52454,211.72122,242.32302,280.75302,326.29986,381.45402,453.68838,563.28534,396.0432,0
35,19.570878,20.99421,22.417542,24.552558,26.687556,30.245886,32.380902,36.650898,39.49758,45.902592,48.749256,53.730936,60.847614,127.744416,140.554458,157.634478,176.137866,198.19962,224.53128,256.55634,294.2748,349.07328,415.25838,496.38852,373.26996,0
36,18.85920781,19.570878,20.99421,23.48505,25.264206,28.110888,29.53422,32.736726,36.650898,42.344244,45.190926,51.951762,57.289284,121.339404,132.726096,147.671118,164.751156,185.38956,208.16298,238.05306,273.63636,320.60646,378.25164,447.28344,355.47822,0
37,18.14753759,18.859212,20.282544,22.417542,23.840874,26.331714,29.53422,33.092568,34.871742,40.209246,42.344244,46.614258,54.442602,114.934392,126.321084,139.842774,154.787796,172.579518,193.92948,220.97286,253.70964,293.56308,343.37988,402.44832,341.95644,0
38,17.4358674,18.147528,19.926702,21.705876,22.417542,25.264224,28.110888,29.53422,31.669236,37.362564,38.785914,44.47926,49.105098,109.241046,119.916072,131.302764,146.247786,162.260316,179.69598,204.60456,233.78292,269.01054,310.6431,367.57656,327.0114,0
