BveTs Vehicle Performance Table 1.00,,,,,
#,cMax,,,,
#,1,2,3,4,5
#,p1cMax,p2cMax,p3cMax,p4cMax,p5cMax
0,62.31524775,163.6593255,163.6593255,163.6593255,163.6593255
1,62.31524775,163.6593255,163.6593255,163.6593255,163.6593255
2,62.31524775,163.6593255,163.6593255,163.6593255,163.6593255
3,62.31524775,163.6593255,163.6593255,163.6593255,163.6593255
4,62.31524775,163.6593255,163.6593255,163.6593255,163.6593255
5,62.31524775,163.6593255,163.6593255,163.6593255,163.6593255
6,62.31524775,163.6593255,163.6593255,163.6593255,163.6593255
7,62.31524775,163.6593255,163.6593255,163.6593255,163.6593255
8,62.31524775,163.6593255,163.6593255,163.6593255,163.6593255
9,62.31524775,163.6593255,163.6593255,163.6593255,163.6593255
10,62.31524775,163.6593255,163.6593255,163.6593255,163.6593255
11,51.50020475,163.6593255,163.6593255,163.6593255,163.6593255
12,43.2744776,163.6593255,163.6593255,163.6593255,163.6593255
13,36.87292766,163.6593255,163.6593255,163.6593255,163.6593255
14,31.79349375,163.6593255,163.6593255,163.6593255,163.6593255
15,27.69566567,163.6593255,163.6593255,163.6593255,163.6593255
16,24.34189365,163.6593255,163.6593255,163.6593255,163.6593255
17,21.56236946,163.6593255,163.6593255,163.6593255,163.6593255
18,19.23310116,163.6593255,163.6593255,163.6593255,163.6593255
19,17.26184148,163.6593255,163.6593255,163.6593255,163.6593255
20,15.57881194,163.6593255,163.6593255,163.6593255,163.6593255
21,14.13044167,163.6593255,163.6593255,163.6593255,163.6593255
22,12.87505119,163.6593255,163.6593255,163.6593255,163.6593255
23,11.77981999,163.6593255,163.6593255,163.6593255,163.6593255
24,10.8186194,163.6593255,163.6593255,163.6593255,163.6593255
25,9.970439639,163.6593255,163.6593255,163.6593255,163.6593255
26,9.218231915,163.6593255,163.6593255,163.6593255,163.6593255
27,8.548044958,163.6593255,163.6593255,163.6593255,163.6593255
28,7.948373437,163.6593255,163.6593255,163.6593255,163.6593255
29,7.40966085,163.6593255,163.6593255,163.6593255,163.6593255
30,6.923916416,163.6593255,163.6593255,163.6593255,163.6593255
31,6.484417039,163.6593255,163.6593255,163.6593255,163.6593255
32,6.085473413,163.6593255,163.6593255,163.6593255,163.6593255
33,5.722244972,163.6593255,163.6593255,163.6593255,163.6593255
34,5.390592366,163.6593255,163.6593255,163.6593255,163.6593255
35,5.086959,158.9833447,163.6593255,163.6593255,163.6593255
36,4.808275289,154.5671407,163.6593255,163.6593255,163.6593255
37,4.55188077,150.3896504,163.6593255,163.6593255,163.6593255
38,4.31546037,146.432028,163.6593255,163.6593255,163.6593255
39,4.096991962,142.6773607,163.6593255,163.6593255,163.6593255
40,3.894702984,139.1104266,163.6593255,163.6593255,163.6593255
41,3.707034369,135.7174894,163.6593255,163.6593255,163.6593255
42,3.532610416,132.4861206,163.6593255,163.6593255,163.6593255
43,3.370213507,129.405048,159.8532946,163.6593255,163.6593255
44,3.218762797,126.4640242,156.2202652,163.6593255,163.6593255
45,3.077296185,123.6537126,152.7487038,163.6593255,163.6593255
46,2.944954997,120.9655884,149.4280798,163.6593255,163.6593255
47,2.820970926,118.3918525,146.2487589,163.6593255,163.6593255
48,2.70465485,115.9253555,143.2019098,163.6593255,163.6593255
49,2.595387245,113.559532,140.2794218,163.6593255,163.6593255
50,2.5434795,113.559532,140.2794218,163.6593255,163.6593255
51,2.493607353,113.559532,140.2794218,163.6593255,163.6593255
52,2.445653365,113.559532,140.2794218,163.6593255,163.6593255
53,2.399508962,113.559532,140.2794218,163.6593255,163.6593255
54,2.355073611,113.559532,140.2794218,163.6593255,163.6593255
55,2.312254091,113.559532,140.2794218,163.6593255,163.6593255
