BveTs Vehicle Performance Table 1.00,,,,,
#,f,,,,
#,1,2,3,4,5
#,p1f,p2f,p3f,p4f,p5f
0,20144.35764,30991.31944,30991.31944,30991.31944,30991.31944
1,20144.35764,30991.31944,30991.31944,30991.31944,30991.31944
2,20144.35764,30991.31944,30991.31944,30991.31944,30991.31944
3,20144.35764,30991.31944,30991.31944,30991.31944,30991.31944
4,20144.35764,30991.31944,30991.31944,30991.31944,30991.31944
5,20144.35764,30991.31944,30991.31944,30991.31944,30991.31944
6,20144.35764,30991.31944,30991.31944,30991.31944,30991.31944
7,20144.35764,30991.31944,30991.31944,30991.31944,30991.31944
8,20144.35764,30991.31944,30991.31944,30991.31944,30991.31944
9,20144.35764,30991.31944,30991.31944,30991.31944,30991.31944
10,20144.35764,30991.31944,30991.31944,30991.31944,30991.31944
11,16648.22945,30991.31944,30991.31944,30991.31944,30991.31944
12,13989.13725,30991.31944,30991.31944,30991.31944,30991.31944
13,11919.73825,30991.31944,30991.31944,30991.31944,30991.31944
14,10277.73349,30991.31944,30991.31944,30991.31944,30991.31944
15,8953.04784,30991.31944,30991.31944,30991.31944,30991.31944
16,7868.889703,30991.31944,30991.31944,30991.31944,30991.31944
17,6970.365965,30991.31944,30991.31944,30991.31944,30991.31944
18,6217.394333,30991.31944,30991.31944,30991.31944,30991.31944
19,5580.154471,30991.31944,30991.31944,30991.31944,30991.31944
20,5036.08941,30991.31944,30991.31944,30991.31944,30991.31944
21,4567.881551,30991.31944,30991.31944,30991.31944,30991.31944
22,4162.057363,30991.31944,30991.31944,30991.31944,30991.31944
23,3808.007115,30991.31944,30991.31944,30991.31944,30991.31944
24,3497.284312,30991.31944,30991.31944,30991.31944,30991.31944
25,3223.097222,30991.31944,30991.31944,30991.31944,30991.31944
26,2979.934562,30991.31944,30991.31944,30991.31944,30991.31944
27,2763.28637,30991.31944,30991.31944,30991.31944,30991.31944
28,2569.433372,30991.31944,30991.31944,30991.31944,30991.31944
29,2395.286283,30991.31944,30991.31944,30991.31944,30991.31944
30,2238.26196,30991.31944,30991.31944,30991.31944,30991.31944
31,2096.187059,30991.31944,30991.31944,30991.31944,30991.31944
32,1967.222426,30991.31944,30991.31944,30991.31944,30991.31944
33,1849.803273,30991.31944,30991.31944,30991.31944,30991.31944
34,1742.591491,30991.31944,30991.31944,30991.31944,30991.31944
35,1644.437358,30105.85317,30991.31944,30991.31944,30991.31944
36,1554.348583,29269.57948,30991.31944,30991.31944,30991.31944
37,1471.465131,28478.50976,30991.31944,30991.31944,30991.31944
38,1395.038618,27729.07529,30991.31944,30991.31944,30991.31944
39,1324.415361,27018.07336,30991.31944,30991.31944,30991.31944
40,1259.022352,26342.62153,30991.31944,30991.31944,30991.31944
41,1198.3556,25700.11856,30991.31944,30991.31944,30991.31944
