BveTs Vehicle Performance Table 1.00,,,,,
,,,,,
#,fMax,,,,
#,1,2,3,4,5
#,p1fMax,p2fMax,p3fMax,p4fMax,p5fMax
0,20144.35764,52905.38194,52905.38194,52905.38194,52905.38194
1,20144.35764,52905.38194,52905.38194,52905.38194,52905.38194
2,20144.35764,52905.38194,52905.38194,52905.38194,52905.38194
3,20144.35764,52905.38194,52905.38194,52905.38194,52905.38194
4,20144.35764,52905.38194,52905.38194,52905.38194,52905.38194
5,20144.35764,52905.38194,52905.38194,52905.38194,52905.38194
6,20144.35764,52905.38194,52905.38194,52905.38194,52905.38194
7,20144.35764,52905.38194,52905.38194,52905.38194,52905.38194
8,20144.35764,52905.38194,52905.38194,52905.38194,52905.38194
9,20144.35764,52905.38194,52905.38194,52905.38194,52905.38194
10,20144.35764,52905.38194,52905.38194,52905.38194,52905.38194
11,16648.22945,52905.38194,52905.38194,52905.38194,52905.38194
12,13989.13725,52905.38194,52905.38194,52905.38194,52905.38194
13,11919.73825,52905.38194,52905.38194,52905.38194,52905.38194
14,10277.73349,52905.38194,52905.38194,52905.38194,52905.38194
15,8953.04784,52905.38194,52905.38194,52905.38194,52905.38194
16,7868.889703,52905.38194,52905.38194,52905.38194,52905.38194
17,6970.365965,52905.38194,52905.38194,52905.38194,52905.38194
18,6217.394333,52905.38194,52905.38194,52905.38194,52905.38194
19,5580.154471,52905.38194,52905.38194,52905.38194,52905.38194
20,5036.08941,52905.38194,52905.38194,52905.38194,52905.38194
21,4567.881551,52905.38194,52905.38194,52905.38194,52905.38194
22,4162.057363,52905.38194,52905.38194,52905.38194,52905.38194
23,3808.007115,52905.38194,52905.38194,52905.38194,52905.38194
24,3497.284312,52905.38194,52905.38194,52905.38194,52905.38194
25,3223.097222,52905.38194,52905.38194,52905.38194,52905.38194
26,2979.934562,52905.38194,52905.38194,52905.38194,52905.38194
27,2763.28637,52905.38194,52905.38194,52905.38194,52905.38194
28,2569.433372,52905.38194,52905.38194,52905.38194,52905.38194
29,2395.286283,52905.38194,52905.38194,52905.38194,52905.38194
30,2238.26196,52905.38194,52905.38194,52905.38194,52905.38194
31,2096.187059,52905.38194,52905.38194,52905.38194,52905.38194
32,1967.222426,52905.38194,52905.38194,52905.38194,52905.38194
33,1849.803273,52905.38194,52905.38194,52905.38194,52905.38194
34,1742.591491,52905.38194,52905.38194,52905.38194,52905.38194
35,1644.437358,51393.7996,52905.38194,52905.38194,52905.38194
36,1554.348583,49966.19406,52905.38194,52905.38194,52905.38194
37,1471.465131,48615.75638,52905.38194,52905.38194,52905.38194
38,1395.038618,47336.39437,52905.38194,52905.38194,52905.38194
39,1324.415361,46122.64067,52905.38194,52905.38194,52905.38194
40,1259.022352,44969.57465,52905.38194,52905.38194,52905.38194
41,1198.3556,43872.75576,52905.38194,52905.38194,52905.38194
42,1141.970388,42828.16634,52905.38194,52905.38194,52905.38194
43,1089.473101,41832.16247,51675.02422,52905.38194,52905.38194
44,1040.514341,40881.4315,50500.59186,52905.38194,52905.38194
45,994.7830933,39972.95525,49378.35648,52905.38194,52905.38194
46,952.0017788,39103.97796,48304.91395,52905.38194,52905.38194
47,911.9220298,38271.97843,47277.14982,52905.38194,52905.38194
48,874.3210781,37474.64554,46292.2092,52905.38194,52905.38194
49,838.9986522,36709.85686,45347.47024,52905.38194,52905.38194
50,805.7743056,35975.65972,44440.52083,51847.27431,51847.27431
51,774.4851072,35270.25463,43569.13807,50830.66108,50830.66108
52,744.9836405,34591.9805,42731.27003,49853.14837,49853.14837
53,717.1362634,33939.30162,41925.01965,48912.52293,48912.52293
54,690.8215926,33310.79604,41148.6304,48006.73547,48006.73547
55,665.9291781,32705.1452,40400.47348,47133.88573,47133.88573
56,642.3583431,32121.12475,39679.03646,46292.2092,46292.2092
57,620.0171634,31557.59625,38982.91301,45480.06518,45480.06518
58,598.8215707,31013.49976,38310.79382,44695.92613,44695.92613
59,578.6945602,30487.84722,37661.45833,43938.36806,43938.36806
60,559.56549,29979.71644,37033.76736,43206.06192,43206.06192
61,541.3694609,29450.49867,36426.65642,42497.76582,42497.76582
62,524.0467648,28508.14401,35839.1297,41812.31799,41812.31799
63,507.5423945,27610.30626,35270.25463,41148.6304,41148.6304
64,491.8056064,26754.22499,34719.1569,40505.68305,40505.68305
65,476.7895299,25937.35043,34185.01603,39882.5187,39882.5187
66,462.4508182,25157.32451,33467.20998,39278.23811,39278.23811
67,448.7493348,24411.96381,32475.64417,38691.99575,38691.99575
68,435.6478728,23699.24428,31527.50144,38122.99581,38122.99581
69,423.1119017,23017.28745,30620.28285,37570.48863,37570.48863
70,411.1093396,22364.34807,29751.66667,37033.76736,37033.76736
71,399.6103479,21738.80293,28919.49349,36512.165,36512.165
72,388.5871458,21139.14073,28121.75283,36005.0516,36005.0516
73,378.013842,20563.953,27356.57096,35511.83172,35511.83172
74,367.8662827,20011.92578,26622.1999,35031.9421,35031.9421
75,358.1219136,19481.8321,25917.00741,34564.84954,34564.84954
76,348.7596544,18972.5252,25239.46791,34110.04889,34110.04889
77,339.7597848,18482.93229,24588.15427,33667.06124,33667.06124
78,331.1038402,18012.04891,23961.73022,33235.43225,33235.43225
79,322.7745175,17558.93375,23358.94355,32814.73057,32814.73057
80,314.7555881,17122.70399,22778.61979,32404.54644,32404.54644
81,307.0318189,16702.53095,22219.65656,32004.49031,32004.49031
82,299.5889,16297.63616,21681.01824,31614.19165,31614.19165
83,292.4133784,15907.28779,21161.73126,31233.29777,31233.29777
84,285.4925969,15530.79727,20660.87963,30569.66884,30861.4728
85,278.8146386,15167.51634,20177.60092,29854.61361,30498.39665
86,272.3682753,14816.83417,19711.08257,29164.35686,30143.76413
87,266.1429203,14478.17487,19260.55842,28497.76501,29797.28408
88,260.1285852,14150.99504,18825.30561,27853.76851,29458.67858
89,254.3158394,13834.78166,18404.64167,27231.35757,29127.68219
90,248.6957733,13529.05007,17997.92181,26629.57819,28804.04128
